SchoolDepartment,ProjectTitle,Finish Time,Email,RequiredSkill,Professors,GainedSkill,strartingOrAsgnmtDate,Hour
Environmental and Civil Engin,CARSTAR Hi-Tech Collision classic car & truck show,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Proofreading and Quality Assurance, Writing and Editing, News and Media Communication",10-09-2019,08:46:00 PM
Partnerships and External Collabor,Flag lowering in honor of Patriot Day,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Proofreading and Quality Assurance, News and Media Communication",2019-09-10,20:47:00
Urban Planning and Public Infrastr,Shoulder work on section of Key Peninsula Highway started Sept. 9,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,News and Media Communication,2019-09-10,22:02:00
Facilities & Maintenance Engineering,CCB & 925 Building construction project,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Writing and Editing, Website Programming, News and Media Communication",11-09-2019,00:04:00
Financal Engineering,Computer restart message,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Website Programming, News and Media Communication, Proofreading and Quality Assurance",2019-09-11,00:07:00
Academic Affairs and Staff Dev,EI&R Banquet RSVP,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Writing and Editing, Website Programming, News and Media Communication",2019-09-12,17:55:00
Academic Affairs & Staff Development,EI&R basket contest,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"News and Media Communication, Writing and Editing, Website Programming",12-09-2019,17:57:00
Facilities & Maintenance Engineering,Flag lowering Sept. 14,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Proofreading and Quality Assurance, Writing and Editing, News and Media Communication",12-09-2019,22:54:00
Urban Planning and Public Infra,Planning Commission’s vote on four community plans postponed until housing market study completed,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Proofreading and Quality Assurance, News and Media Communication",2019-09-16,07:05:00 PM
Urban Planning and Public Infrastr,Decommissioned vehicles and heavy equipment to be auctioned,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,News and Media Communication,16-09-2019,22:33:00
Urban Planning & Public Infrastructure,Lakebay intersection to be reconfigured in late September,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"News and Media Communication, Website Programming",2019-09-18,18:45:00
Urban Planning and Public Infrastr,Wheel Options,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"News and Media Communication, Proofreading and Quality Assurance, Website Programming",2019-09-20,16:53:00
Environmental and Civil Engin,"Learn about Pierce County’s Parks, Recreation and Open Space Plan",,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"News and Media Communication, Proofreading and Quality Assurance",24-09-2019,04:26:00 PM
Academic Affairs and Staff Dev,Update Volunteer Recognition webpages,,dwetherheadb@livejournal.com,Website Programming,Samira Alaoui,Website Programming,25-09-2019,05:18:00 PM
Academic Affairs and Staff Dev,Create labor negotiations webpage,,dwetherheadb@livejournal.com,Website Programming,Samira Alaoui,Website Programming,25-09-2019,17:20:00
Academic Affairs and Staff Dev,Call for awards,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"News and Media Communication, Writing and Editing, Website Programming",2019-09-26,09:20:00 PM
Environmental and Civil Eng,Outdoor improvements coming to Sprinker Recreation Center,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"News and Media Communication, Proofreading and Quality Assurance, Website Programming",2019-09-30,22:05:00
Industrial and Systems Eng,Purchasing forum to connect businesses with government contracting experts and opportunities set for Oct. 17,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming, News and Media Communication",02-10-2019,10:28:00 PM
Safety Eng and Crisis Management,Great ShakeOut,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"News and Media Communication, Proofreading and Quality Assurance, Website Programming, Graphic Design",08-10-2019,18:34:00
Financial Enginering,Boost your spreadsheet skills with free Excel classes,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"News and Media Communication, Website Programming, Graphic Design",2019-10-08,21:27:00
Financial Enginering,Countywide 2020 calendar order announcement,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"News and Media Communication, Website Programming",08-10-2019,10:16:00 PM
Academic Affairs & Staff Development,In Her Shoes simulation for DV Awaress month,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming, News and Media Communication, Graphic Design",09-10-2019,22:34:00
Legal and Compliance Eng,Superior Court drug court 25th anniversary,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Proofreading and Quality Assurance, News and Media Communication, Writing and Editing, Website Programming",10-10-2019,09:58:00 PM
Academic Affairs and Staff Dev,EI&R Banquet ticket reminder,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Writing and Editing, Website Programming, Graphic Design",15-10-2019,00:54:00
Environmental & Civil Engineering,Woof Woof Walk,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Proofreading and Quality Assurance, News and Media Communication, Website Programming",2019-10-16,19:02:00
Quality Assurance and Risk Mgmt,Jurisdiction of the Year awarded to Recording Unit,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,,16-10-2019,21:00:00
Environmental and Civil Eng,Fantasy Lights Walk,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",17-10-2019,06:59:00 AM
Urban Planning & Public Infrastructure,Wheel Options,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Website Programming, Graphic Design",17-10-2019,08:01:00 PM
Urban Planning and Public Infra,Reduce flooding by keeping storm drains clear of leaves,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"News and Media Communication, Proofreading and Quality Assurance",2019-10-22,09:16:00 PM
Environmental & Civil Engineering,Retirement of Dennis Pelham,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,Proofreading and Quality Assurance,2019-10-22,09:30:00 PM
Quality Assurance and Risk Manag,Nov. 5 General Election at a glance,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Website Programming, News and Media Communication",2019-10-23,05:19:00 PM
Partnerships & External Collaboration,"Discount tickets to Monster Jam Triple Threat Series, Jan. 10-12",,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",24-10-2019,12:00:00 AM
Partnerships & External Collaboration,"Discount tickets to Monster Jam Triple Threat Series, Jan. 10-12",,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",24-10-2019,19:06:00
Academic Affairs and Staff Devel,WA Teamsters email template,,dwetherheadb@livejournal.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Samira Alaoui,Graphic Design,25-10-2019,12:00:00 AM
Academic Affairs and Staff Dev,WA Teamsters email template,,dwetherheadb@livejournal.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Samira Alaoui,Graphic Design,25-10-2019,07:47:00 PM
Urban Planning and Public Infrastr,Pierce County road crews prepare for winter weather,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"News and Media Communication, Website Programming, Proofreading and Quality Assurance",29-10-2019,12:00:00 AM
Urban Planning & Public Infrastructure,Pierce County road crews prepare for winter weather,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"News and Media Communication, Website Programming, Proofreading and Quality Assurance",2019-10-29,22:19:00
Facilities and Maintenance Engin,Active Shooter training flyer,,dwetherheadb@livejournal.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Samira Alaoui,Graphic Design,2019-10-30,12:00:00 AM
Facilities and Maintenance Engin,Active Shooter training available,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Graphic Design, Website Programming, Writing and Editing",2019-10-30,00:00:00
Facilities & Maintenance Engineering,Active Shooter training available,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Graphic Design, Website Programming, Writing and Editing",30-10-2019,18:29:00
Facilities and Maintenance Engin,Active Shooter training flyer,,dwetherheadb@livejournal.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Samira Alaoui,Graphic Design,2019-10-30,06:30:00 PM
Academic Affairs and Staff Devel,Workday military status update,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Graphic Design, Proofreading and Quality Assurance",30-10-2019,06:46:00 PM
Academic Affairs and Staff Dev,Volunteer Recognition call for nominations #1,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Graphic Design, Writing and Editing, Website Programming",30-10-2019,11:53:00 PM
Academic Affairs and Staff Devel,Update Leadership Pyramid image,,dwetherheadb@livejournal.com,"Website Programming, Graphic Design/Marketing (Posters, Brochures, Reports)",Samira Alaoui,Proofreading and Quality Assurance,2019-10-31,00:00:00
Academic Affairs and Staff Devel,New employee required training infographic,,dwetherheadb@livejournal.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Samira Alaoui,Graphic Design,2019-10-31,00:00:00
Urban Planning and Public Infra,Passing of Bob Wagner,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Website Programming, Proofreading and Quality Assurance",31-10-2019,00:00:00
Technical Communication & Media,Call for Halloween costumes,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Graphic Design, Writing and Editing",2019-10-31,12:00:00 AM
Academic Affairs and Staff Devel,Workday military status update,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Graphic Design, Proofreading and Quality Assurance",2019-10-31,12:00:00 AM
Technical Communication & Media,Call for Halloween costumes,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Graphic Design, Writing and Editing",31-10-2019,00:19:00
Urban Planning and Public Infra,Passing of Bob Wagner,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Website Programming, Proofreading and Quality Assurance",2019-10-31,09:20:00 PM
Urban Planning and Public Infra,Golden Given Road East and 104th Street East intersection to change to all-way stop in early November,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",2019-11-01,12:00:00 AM
Urban Planning and Public Infrastr,Golden Given Road East and 104th Street East intersection to change to all-way stop in early November,,dwetherheadb@livejournal.com,News Writing and Editing,Samira Alaoui,"Proofreading and Quality Assurance, Website Programming",01-11-2019,04:41:00 PM
Academic Affairs & Staff Development,New employee required training infographic,,dwetherheadb@livejournal.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Samira Alaoui,Graphic Design,01-11-2019,05:32:00 PM
Academic Affairs and Staff Devel,Update Leadership Pyramid image,,dwetherheadb@livejournal.com,"Website Programming, Graphic Design/Marketing (Posters, Brochures, Reports)",Samira Alaoui,Proofreading and Quality Assurance,2019-11-01,17:34:00
Governance & Policy Studies,Army vs. Navy flyer for directors,,dwetherheadb@livejournal.com,"Internal and External Communication, Graphic Design/Marketing (Posters, Brochures, Reports)",Samira Alaoui,Graphic Design,2019-11-04,00:00:00
Governance & Policy Studies,Army vs. Navy flyer for directors,,dwetherheadb@livejournal.com,"Internal and External Communication, Graphic Design/Marketing (Posters, Brochures, Reports)",Samira Alaoui,Graphic Design,2019-11-05,12:39:00 AM
Governance and Policy Stud,Army vs. Navy message to employees,,dwetherheadb@livejournal.com,Internal and External Communication,Samira Alaoui,"Graphic Design, Website Programming, Writing and Editing",05-11-2019,01:14:00 AM
